Pos	Jugador	Club	Puntos	Categoría	id_fetemba
260	Puerta, Alejandro	Oeste TDM	1820	1	1288
261	Epsztein, Leonardo	Atlanta	1816	1	142
262	Arenas, Ezequiel	Intendente Agüero	1814	1	873
263	Kenji Kamida, Diego	Alvear Club	1809	1	944
264	Morales, Alex	Gimnasty	1808	1	589
265	Lago, Pablo	Libre	1808	1	1263
266	Strah, Juan Pablo	Lourdes	1806	1	1729
267	Lima, Facundo	Libre	1800	1	2793
268	Matlin, Federico Jose	Atlanta	1800	1	2832
269	Azcoaga Puyo, Alejandro	UCA Marash Argentina	1800	1	3970
270	Janer, Fabricio	Libre	1800	1	4788
271	Romero, Elias	CEDIMA	1793	1	957
272	Szlit, Joel	Alvear Club	1791	1	8
273	Marchese, Ignacio	Zenit	1791	1	1204
274	Vilte Bosch, Fernan	Circulo Campano	1790	1	3876
275	Kosmata, Phil	River Plate	1789	1	4001
276	Felscher, Jonathan	Padilla	1783	1	1654
277	Achaval, Joaquin	Nikkei TDM	1783	1	2067
278	Guiñazu Juarez, Ivo	Libre	1782	1	4787
279	Perez Colman, Imanol	Banco Nacion	1779	1	483
280	Szneiberg, Hernán	Alvear Club	1778	1	10
281	Darcyl, Leonardo	Padilla	1778	1	1738
282	Azzurro, Ignacio	Gimnasty	1776	1	3084
283	Moralejo, Fabián	CAVA	1768	1	602
284	Ortega, Maximiliano	CAVA	1764	1	190
285	Almiron, Esteban	El Galpong	1761	1	1148
286	Rivero, Miguel	San Lorenzo	1760	1	145
287	Batista, Valentina	Libre	1759	1	3083
288	Kim, Hae Ja	River Plate	1758	1	150
289	Frezza, Leonardo	TMR	1755	1	1431
290	Sanchez, Martin C.	Ateneo de Versailles	1755	1	3345
291	Levisman, Gustavo	Alvear Club	1752	1	143
292	Sclar, Matias	Alvear Club	1752	1	3712
293	Martinez Tapia, José Manuel	CEDIMA	1750	1	1870
294	Bragado, Matías	CAVA	1747	1	592
295	Micheli, Luis	Ferrocarril Oeste	1747	1	1338
296	Ryzhov, Anatolii	Bar Ping Pong NTE	1746	1	4638
297	Piras, Roberto	Fenix	1743	2	153
298	Sculco, Nahuel	Nikkei TDM	1741	2	1672
299	Nagata, Sebastián	Libre	1739	2	146
300	Paredes, Bryan	Libre	1735	2	2563
301	Hurtado, Franco	San Lorenzo	1733	2	1507
302	Rodriguez, Cristian	Rioja	1732	2	582
303	Iwasa, Nicolás	Ferrocarril Oeste	1727	2	381
304	Quagliardi, Hugo Franco	GTM	1727	2	478
305	Navarro, Ian	CASA de Padua	1727	2	1315
306	Brusco, Agustín	Libre	1725	2	1949
307	Moleda, Damián	Libre	1718	2	144
308	Villarroel, Franco	Libre	1717	2	3376
309	Quintana, Lucas	Lourdes	1716	2	624
310	Martinez, Tobias	GTM	1716	2	4535
311	Bianchini, Nicolas	Banco Nacion	1715	2	3602
312	Puerta, Walter	Oeste TDM	1714	2	1285
313	Lamazon, Gustavo Gabriel	CAVA	1714	2	2058
314	Gonzalez, Paulina	Alvear Club	1713	2	581
315	Guassardo, Paulo	Def. Santos Lugares	1711	2	489
316	Ferreyra, Luis Alberto	Fenix	1711	2	2376
317	Migueles, Patricio	Nikkei TDM	1709	2	699
318	Ibarra, Fernando	San Lorenzo	1708	2	23
