pos	jugador	club 	puntos	categoria
328	Tula, Ricardo	Nikkei TDM	1658	2
329	Passera, Santiago	Top Minc	1658	2
330	Dirito, Siro	Fenix	1657	2
331	Barr, Eduardo	CAVA	1656	2
332	Harima, Maia	Libre	1656	2
333	Barja, Luis M.	Libre	1656	2
334	Dorigoni, Enzo	Libertad	1656	2
335	Beloqui, Marcio	Libre	1655	2
336	Migueles, Patricio	Nikkei TDM	1653	2
337	Aguirre, Daniel	La Legión TDM	1653	2
338	Kiersenblat, Martín	Libre	1650	2
339	Dragas, Zeljka	Escuela Cangallo	1650	2
340	Silva Castillo, Luciano	Padilla	1649	2
341	Garcia, Ana María	Libre	1639	2
342	Pighini, Pablo	TMR	1638	2
343	Rodriguez, Facundo	Libre	1635	2
344	Pareja, Carlos	Libre	1635	2
345	Grimoldi, Maximiliano	Nichia Gakuin	1631	2
346	Sosa Torales, Enzo	Oeste TDM	1630	2
347	Luna, Fernando	TMR	1630	2
348	Acuña, Luis	Instituto Cia. Maria	1627	2
349	Escude, Horacio	Ingeniero Acosta	1627	2
350	Uesugui, Rafael	CAVA	1626	2
351	Sanabria, Oscar	GTM	1626	2
352	Poza, Tomas	Banco Nacion	1624	2
353	Carranza, Mateo	Tigre TDM	1624	2
354	Olmedo, Pablo	Lourdes	1621	2
355	Rossi, Mauro	CPCN Villa Gesell	1618	2
356	Poza, Franco	Libre	1617	2
357	Aguirre, Sebastián	Instituto Cia. Maria	1616	2
358	Parinelli, David	Boca Juniors	1615	2
359	Peralta, Lucas	Libre	1614	2
360	Ence, Marcos Emmanuel	Inst.Atlet. Cultural	1613	2
361	Aburachid Auad, Luiz G.	La Legión TDM	1613	2
362	Mazzoni, Germán (F)	Cedem nº 2	1610	2
363	Carlevarino, Pablo	Ferrocarril Oeste	1610	2
364	Ametrano, Lucas	Libre	1609	2
365	Maciel, Fabricio	Libre	1609	2
366	Camagna, Diego Andrés	Fenix	1609	2
367	Simoiz, Enzo	Top Serrano	1603	2
368	Peralta Bello, Tiago	Gimnasty	1602	2
369	Mayer, Lisa Marie	River Plate	1602	2
370	Moscovitz, Adolfo	Atlanta	1601	2
371	Rosito, Pablo	Tigre TDM	1599	2
372	Yamileth, Arasme	Alvear Club	1599	2
373	Dorado, Matías	Tigre TDM	1597	2
374	Perez, Camila D.	Fenix	1596	2
375	Benitez, Eduardo	Ferrocarril Oeste	1595	2
376	Del Fabro, Franco	Libre	1595	2
377	Vera Ortega, Joaquín	Tigre TDM	1594	2
378	Gutierrez, Marcelo	Circulo Campano	1593	2
379	Rotryng Alvarez, Facundo	Macabi	1593	2
380	Mallo, Federico Oscar	La Legión TDM	1591	2
381	Vigolo, Tomás	Fenix	1587	2
382	Caram, Alejo	Fulgor Villa Crespo	1585	2
383	Furones, Matías	CTDM Nizetich	1583	2
384	Garcia, Alan	Intendente Agüero	1582	2
385	Vilte Bosch, Fernan	Circulo Campano	1582	2
386	Couso, Manuel	UCA Marash Argentina	1577	2
387	Fermanelli, Pedro	Lourdes	1576	2
388	Galeppi, Leonel	HCD	1575	2
389	Tissenbaum, Santiago	UCA Marash Argentina	1574	2
390	Vera, Antonio	Libre	1572	2
391	Lovera Arteaga, Crismi Paola	AsociacionYabrudense	1572	2
392	D' Ignazi, Luciano	Zenit	1571	2
393	Bustillos, Eli	CEDIMA	1570	2
394	Zuñiga, Rosaura	Nichia Gakuin	1567	2
395	Szeinfain, Thomas	Ateneo de Versailles	1565	2
396	Mouhamed, Amir Alexander	River Plate	1563	2
397	Sarso, Luciano	CAVA	1563	2
398	Avital, Omer	Obras Sanitarias	1562	2
399	Nuñez Bouzi, Alvaro	Inst.Atlet. Cultural	1561	2
400	Perez, Julián	Club Italiano JCPaz	1560	2
401	Deym, Federico	Tigre TDM	1560	2
402	Almiron, Esteban	El Galpong	1560	2
403	Carlisi, Nahuel	Social Club TDM	1559	2
404	Isura, Joaquin	Inst.Atlet. Cultural	1557	2
405	Kenji Kamida, Diego	AsociacionYabrudense	1556	2
406	Mendez, Leonel	Nichia Gakuin	1547	2
407	Galvan, Gastón	Ferrocarril Oeste	1546	2
408	Ledesma, Nicolás	Def. Santos Lugares	1546	2
409	Carattoli, Matias J.	Ateneo de Versailles	1546	2
410	Valdez, Julián	Libre	1541	2
411	Vergez, Federico	Estacion Ping Pong	1537	2
412	Diaz, Iñaki	Peretz	1533	2
413	Pastore, Daniel	Rioja	1533	2
414	Buquete, Luis Mariano	El Galpong	1532	2
415	Birus, Alexander	Sociedad Alemana	1531	2
416	Gerchicov, Daniel	Libre	1530	2
417	Daventini, Lucas	Lourdes	1529	2
418	Dominguez, Horacio	Alvear Club	1528	2
419	Martinelli, Gino	Padilla	1528	2
420	Gonzalez, Aldana	Libre	1527	2
421	Lussenhoff, Patricio	Ferrocarril Oeste	1526	2
422	Gajic, Nikola	Ferrocarril Oeste	1524	2
423	Noguera Castellano, Alfredo	Rioja	1522	2
424	Perez, Alejandro	CEDIMA	1517	2
425	Argume, Robert	Instituto Cia. Maria	1516	2
426	Ming, de Huang	Top Minc	1515	2
427	Paz, Facundo N.	CEDIMA	1515	2
428	Belaustegui, Nicolás	Tigre TDM	1513	2
429	Faig, Germán	Libre	1513	2
430	Shokida, Alex	Arroyo TMC	1512	2
431	Rodriguez, Fernando	Libre	1510	2
432	Velazquez, Bruno	Oeste TDM	1510	2
433	Andino, Byron	Gimnasty	1509	2
434	Garcia, Román	Gimnasty	1509	2
435	Sclar, Matias	Alvear Club	1509	2
436	Tomasseo, Gustavo	Cedem nº 2	1508	2
437	Solve, Facundo	Circulo Campano	1507	2
438	Trujillo, Jhon Jairo	River Plate	1505	2
439	Moscato, Alejandro	Intendente Agüero	1503	2
440	Depergola, Mauro	CTDM Nizetich	1502	2
441	Romero Anglat, Maria Candela	Inst.Atlet. Cultural	1500	2
442	Palazzo, Didier	Ateneo de Versailles	1500	2
443	Guillen, Juan Pablo	Ferrocarril Oeste	1499	2
444	Cassara, Omar	River Plate	1498	2
445	Giri, Sergio	River Plate	1497	2
446	Marchese, Joaquín	Zenit	1494	2
447	Olmos, Alan	Alvear Club	1494	2
448	Garcia Rae, Nehuen	CTDM Nizetich	1494	2
449	Rolla, Tomas	Libre	1493	2
450	Perusco, Carlos (F)	CTDM Nizetich	1491	2
451	Pollini, Santiago	Lourdes	1490	2
452	Chirino, Maria Florencia	Alvear Club	1490	2
