Pos	Jugador	Club	Puntos	Categoría
3957	Vazquez, Florencia A.              	La Huella                     	500	7
3958	Bolaño, Franco                     	La Huella                     	500	7
3959	Rodriguez, Nicolas                 	La Huella                     	500	7
3960	Fontenla, Andres E                 	Ateneo de Versailles          	500	7
3961	Colman, Miguel Alberto             	Padilla                       	500	7
3962	Esmerian, Ezequiel                 	Padilla                       	500	7
3963	Monte, Sebastian A                 	Rioja                         	500	7
3964	Suau, Miguel                       	Oeste TDM                     	500	7
3965	Jara, Alexis                       	Oeste TDM                     	500	7
3966	Silva, Facundo                     	Libre                         	500	7
3967	Lerner, Ariel                      	Macabi                        	500	7
3968	Levin, Valeria                     	Macabi                        	500	7
3969	Dellisola, Lautaro                 	Zenit                         	500	7
3970	Hernandez, Alexis                  	Peretz                        	500	7
3971	Yañez, Nahuel                      	Libre                         	500	7
3972	Elsztain, Alejandro                	Libre                         	500	7
3973	Rubin, Fernando S                  	Libre                         	500	7
3974	Czarny, Natalio                    	Libre                         	500	7
3975	Kusneras, Silvina                  	Libre                         	500	7
3976	Gyukits, Ignacio                   	Peñarol                       	500	7
3977	Cabaña, Lucas                      	Libre                         	500	7
3978	Jamilis, Netanel                   	Libre                         	500	7
3979	Taddeo, Pablo                      	Libre                         	500	7
3980	Palomeque, Mario                   	La Legión TDM                 	500	7
3981	Acosta, Marcelo                    	Oeste TDM                     	500	7
3982	Idiarte, Mirta N.                  	La Legión TDM                 	500	7
3983	Cruz, Roberto                      	Zenit                         	500	7
3984	Depino, Omar                       	Zenit                         	500	7
3985	Halblaub, Braian                   	Zenit                         	500	7
3986	Ruiz, Sergio                       	Zenit                         	500	7
3987	Ghiazza, Andres                    	La Legión TDM                 	500	7
3988	Paredes, Joaquin E.                	San Lorenzo                   	500	7
3989	Jakiszczyk, Adrian R.              	Rioja                         	500	7
3990	Agote Robertson, Ignacio           	Tigre TDM                     	500	7
3991	Saire, Daniel R.                   	Atlanta                       	500	7
3992	Lucuix, Joaquin                    	Atlanta                       	500	7
3993	Wildau, Erika A.                   	Atlanta                       	500	7
3994	Mollo, Martiniano                  	Atlanta                       	500	7
3995	Catalano, Luciano F.               	Atlanta                       	500	7
3996	Artus, Andrea N.                   	Atlanta                       	500	7
3997	Teicher, Ariel                     	Atlanta                       	500	7
3998	Vega Tabachnik, Caetano            	Atlanta                       	500	7
3999	Seoane, Juan Carlos                	Ateneo de Versailles          	500	7
4000	Gasparini, Miguel Angel            	Ateneo de Versailles          	500	7
4001	Jamani, Moises D.                  	Ateneo de Versailles          	500	7
4002	Spighich, Agustin T.               	Ateneo de Versailles          	500	7
4003	Guerreiro, Lucas G.                	Ateneo de Versailles          	500	7
4004	Matarrese, Franco                  	Ateneo de Versailles          	500	7
4005	Lima, Sergio                       	Cedem nº 2                    	500	7
4006	Basma, Candela                     	CEDIMA                        	500	7
4007	Feser, Franco N.                   	Padilla                       	500	7
4008	Lujan Gazia, Agustin               	Arg Takkyu                    	500	7
4009	Cayetá, Daniela                    	La Huella                     	500	7
4010	Echandi, Iara                      	La Huella                     	500	7
4011	Lepez, Martina                     	La Huella                     	500	7
4012	Rueda, Julieta                     	La Huella                     	500	7
4013	Serrano, Abril                     	La Huella                     	500	7
4014	Diaz, Abril                        	La Huella                     	500	7
4015	Parodi, Damian                     	La Huella                     	500	7
4016	Jimenez, Priscila                  	La Huella                     	500	7
4017	Santa Cruz, Lujan                  	La Huella                     	500	7
4018	Nakagama, Aline Yukie              	CTDM Nizetich                 	500	7
4019	Celaya Llamosas, Camilo            	Libre                         	500	7
4020	Rust, Fabrizio                     	Libre                         	500	7
4021	Ibarra, Brenda                     	Libre                         	500	7
4022	Wu, Olimpio                        	Nichia Gakuin                 	500	7
4023	Ophir, Amitai A.                   	Atlanta                       	500	7
4024	Joab, Ernesto                      	U.V.V.A.                      	500	7
4025	Benenati, Lucas                    	Zenit                         	500	7
4026	De Sancho, Diego                   	Zenit                         	500	7
4027	Amarilla, Norberto J.              	Libre                         	500	7
4028	Fraga, Valentino B.                	Top Minc                      	500	7
4029	Basso, Santiago                    	Gimnasty                      	500	7
4030	D'Annunzio, Valentino              	CTDM Nizetich                 	500	7
4031	D'Annunzio, Alejo                  	CTDM Nizetich                 	500	7
4032	Acuña, Hugo A.                     	Social Club TDM               	500	7
4033	Equiza, Myriam                     	Def. Santos Lugares           	500	7
4034	Castiglioni, Ariel                 	Ateneo de Versailles          	500	7
4035	Zelazny, Federico                  	Ateneo de Versailles          	500	7
4036	Banegaz ,Thiago                    	Ateneo de Versailles          	500	7
4037	Telao Guerreros, Lucas             	Ateneo de Versailles          	500	7
4038	Sancha, Alejandro                  	Ateneo de Versailles          	500	7
4039	Weckesser, Diego                   	Ateneo de Versailles          	500	7
4040	Argüelles, Álvaro Ricard           	Atlanta                       	500	7
4041	Hochman, Gustavo                   	Atlanta                       	500	7
4042	Suarez Battan, Juan                	Atlanta                       	500	7
4043	Mon, Gonzalo                       	Fenix                         	500	7
4044	Mansilla, Gaston                   	GTM                           	500	7
4045	Dalessandro, Franco                	GTM                           	500	7
4046	Larraburu, Sebastián               	Intendente Agüero             	500	7
4047	Parodi, Leonardo                   	La Huella                     	500	7
4048	Fernandez Bueno, Emilio            	Libre                         	500	7
4049	Djemdjemian, Ariel                 	Peñarol                       	500	7
4050	Grillo, Alejandro                  	Peñarol                       	500	7
4051	Varela, Mariano                    	Peñarol                       	500	7
4052	Boraso, Juan Pablo                 	Tigre TDM                     	500	7
4053	Bortoni, Melanie                   	Tigre TDM                     	500	7
4054	Andrada, Patricia Beat             	Tigre TDM                     	500	7
4055	Fafian, Santino                    	TMR                           	500	7
4056	Loiseau, Marcelo                   	TMR                           	500	7
4057	Gonzalez, Daniel                   	Oeste TDM                     	500	7
4058	Waldhuter, Gabriel                 	Estacion Ping Pong            	500	7
4059	Davidovich, Hernan                 	Sociedad Hebraica             	500	7
4060	Lochbaum, Federico                 	Libre                         	500	7
4061	Riveros, Sabrina                   	Libre                         	500	7
4062	Martinez, Julieta                  	Libre                         	500	7
4063	Lamdam Ordas, Humberto             	Libre                         	500	7
4064	Corra Nassar, Shadia               	Libre                         	500	7
4065	Veron, Gonzalo                     	Def. Santos Lugares           	500	7
4066	Heinze, Tomas                      	Def. Santos Lugares           	500	7
4067	Machado Pacheco, Carla             	Def. Santos Lugares           	500	7
4068	Bonini, Roman                      	CASA de Padua                 	500	7
4069	Suarez Sosa, Diego                 	La Legión TDM                 	500	7
4070	Perez, Mario A.                    	Lourdes                       	500	7
4071	Palavecino, Ximena                 	Padilla                       	500	7
4072	Teijeiro Bourse, Christian         	CASA de Padua                 	500	7
4073	Lerer Squarzon, Juan Ignacio       	Torre Tanque TDM              	500	7
4074	Cagnones, Leonel                   	Social Club TDM               	500	7
4075	Pratone, Enzo                      	CASA de Padua                 	500	7
4076	Harari Nahen, Betina               	Sociedad Hebraica             	500	7
4077	Perlov, Mauricio                   	Sociedad Hebraica             	500	7
4078	Mombru, Juan Pablo                 	Def. Santos Lugares           	500	7
4079	Capone Walfisch, Thiago            	Estacion Ping Pong            	500	7
4080	Gordon Stern, Mariela              	Social Club TDM               	500	7
4081	Correa, Franco                     	Libre                         	500	7
4082	Chanquia, Patricio                 	Padilla                       	500	7
4083	Silva Formento, Lautaro            	Estacion Ping Pong            	500	7
4084	Silva Formento, Franco             	Estacion Ping Pong            	500	7
4085	Kalomiris, Lucas                   	Libre                         	500	7
4086	Antunez, Franco                    	CASA de Padua                 	500	7
4087	Siverino, Fernando                 	Club Urquiza                  	500	7
4088	Buitron, Damian                    	CASA de Padua                 	500	7
4089	Burgaña, Juan Marcos               	Libre                         	500	7
4090	Caputto, Gerardo O.                	Libre                         	500	7
4091	Pauletic, Gustavo D.               	Libre                         	500	7
4092	Lagoria, Carlos                    	Asoc. Yabrudense              	500	7
4093	Campodonico, Diego C.              	Atlanta                       	500	7
4094	Nacul, Nestor                      	Atlanta                       	500	7
4095	Martinez, Diego                    	Jorge Newbery TDM             	500	7
4096	Bustamante, Carlos                 	Jorge Newbery TDM             	500	7
4097	Zugman, Matias                     	Sociedad Hebraica             	500	7
4098	Zugman, Adrian                     	Sociedad Hebraica             	500	7
4099	Curatelli, Ariel                   	Inst.Atlet. Cultural          	500	7
4100	Rodriguez, Felipe                  	Libertad                      	500	7
4101	Di Giovanni, Hernan                	Bersie TDM                    	500	7
4102	Mansilla, Jesus                    	CASA de Padua                 	500	7
4103	Solano, Lautaro                    	CASA de Padua                 	500	7
4104	Clementin, Cesar                   	CASA de Padua                 	500	7
4105	Perez, Carlos E.                   	Nikkei TDM                    	500	7
4106	Campos, Jose Maria                 	Estacion Ping Pong            	500	7
4107	Bugliot, Iñaqui                    	Inst.Atlet. Cultural          	500	7
4108	Oviedo, Hector                     	Adrogue Sith Spin             	500	7
4109	Nuñez, Valentino                   	Libre                         	500	7
4110	Abrigo, Rodrigo                    	Torre Tanque TDM              	500	7
4111	Joseph, Roberto                    	Libre                         	500	7
4112	Dellanna, Facundo                  	Peñarol                       	500	7
4113	Rodriguez, Leandro                 	Peñarol                       	500	7
4114	Ordoñez Mejias, Juan Enrique       	Ateneo de Versailles          	500	7
4115	Barrientos Santacruz, Nelson       	Ateneo de Versailles          	500	7
4116	Occhi, Franco                      	Bersie TDM                    	500	7
4117	Koch, Santiago                     	U.V.V.A.                      	500	7
4118	Cayeta, Daniela                    	La Huella                     	500	7
4119	Majul, Daniel                      	Jorge Newbery TDM             	500	7
4120	Perez, Diego                       	Jorge Newbery TDM             	500	7
4121	Mola, Mariano                      	Tigre TDM                     	500	7
4122	Perazoli, Stefano                  	Ateneo de Versailles          	500	7
4123	Santillan, Mariano                 	Ferrocarril Oeste             	500	7
4124	Muñoz, Marcos A                    	Ferrocarril Oeste             	500	7
4125	Sardi Hernandez, Lucas             	Estacion Ping Pong            	500	7
4126	Parodi, Gustavo                    	TMR                           	499	7
4127	Hormeche, Adriana                  	Nichia Gakuin                 	499	7
4128	Cohen, Ariel                       	Libre                         	499	7
4129	Miñones, Ramiro                    	Fenix                         	499	7
4130	Pages, Santiago                    	Libre                         	499	7
4131	Duduletz, Roy                      	U.V.V.A.                      	499	7
4132	Salpeter, Luana                    	Asoc. Yabrudense              	499	7
4133	Soplan, Pablo                      	Boca Juniors                  	499	7
4134	Galarce, Lucas                     	Def. Santos Lugares           	498	7
4135	Dolcet, Luciano D                  	Lourdes                       	498	7
4136	Fortunato, Ivan                    	Jorge Newbery TDM             	498	7
4137	Panero, Nicolas                    	Def. Santos Lugares           	498	7
4138	Medve, Fabrizio                    	TMR                           	498	7
4139	Bonnin, Marta Beatriz              	Peretz                        	497	7
4140	Jarkowski, Ivan                    	Atlanta                       	497	7
4141	Soldi, Daniel M.                   	Gimnasty                      	497	7
4142	Szwarc, Uriel                      	Peñarol                       	497	7
4143	Reiners, Joaquin                   	Boca Juniors                  	497	7
4144	Menin, Felipe                      	Tigre TDM                     	497	7
4145	Avila, Maria Luz                   	Zenit                         	497	7
4146	Taborda, Matías                    	Libre                         	496	7
4147	Lezcano, RIcardo J                 	Ateneo de Versailles          	496	7
4148	Diaz, Armando                      	La Legión TDM                 	496	7
4149	Agrelo Brito, Luis E.              	Atlanta                       	496	7
4150	Gamarra, Mario                     	Jorge Newbery TDM             	496	7
4151	Aguilar Diaz, Jefferson            	Spin TDM                      	496	7
4152	Müller, Luca                       	TDM Cañuelas                  	496	7
4153	Giustino, Lorenzo                  	Banco Nacion                  	496	7
4154	Lerman, Fernando                   	Fenix                         	495	7
4155	Poupat, Jose                       	San Lorenzo                   	495	7
4156	Roman, Gonzalo                     	Libre                         	495	7
4157	Israelit, Diego                    	Sociedad Hebraica             	495	7
4158	Marana, Mauricio                   	CASA de Padua                 	495	7
4159	Zolkwer, Luca                      	Atlanta                       	495	7
4160	Lacoa, Esteban                     	Zenit                         	495	7
4161	Kamarauskas, Rodolfo               	CAVA                          	494	7
4162	Garcia, Rodrigo                    	Nikkei TDM                    	494	7
4163	Orrego, Dylan                      	Rioja                         	494	7
4164	Korniansky, Shai                   	Libre                         	494	7
4165	De Bonis, Hernan                   	U.V.V.A.                      	494	7
4166	Espinosa Chila, Favio              	La Legión TDM                 	494	7
4167	Sanchez, Gustavo F.                	Libre                         	494	7
4168	Ramirez, Cristino A.               	Atlanta                       	494	7
4169	Berardi, Leon                      	Arg Takkyu                    	494	7
4170	Aleman, Yoel                       	Jorge Newbery TDM             	494	7
4171	Martinez, Santiago                 	Peñarol                       	494	7
4172	Castro, Gonzalo                    	La Legión TDM                 	494	7
4173	Martinez, Marcelo                  	Torre Tanque TDM              	493	7
4174	Gimenez Castillo, Bianca D.        	CASA de Padua                 	493	7
4175	Giovini, Juan                      	Tigre TDM                     	492	7
4176	Lopez, Walter                      	Studio Ping Pong              	492	7
4177	Lindenboim Manera, Valentina       	Macabi                        	492	7
4178	Botros, Emanuel                    	Adrogue Sith Spin             	492	7
4179	Curak, Gaston                      	Atlanta                       	492	7
4180	Taborda, Luciano G.                	Libre                         	492	7
4181	Buitron, Agustin                   	CASA de Padua                 	492	7
4182	Lopez Lange, Santiago              	U.V.V.A.                      	492	7
4183	Prendes, Gonzalo                   	Club 4F                       	492	7
4184	Meisegeier, Damian                 	Ateneo de Versailles          	491	7
4185	Rogovsky, Liliana                  	Sociedad Hebraica             	491	7
4186	Aidelman, Simon                    	Atlanta                       	491	7
4187	Bernardou Fellay, Sergio           	Ateneo de Versailles          	491	7
4188	Birman, Maximiliano D              	UBA Exactas                   	491	7
4189	Di Girolamo Lenze, Antonia         	Nikkei TDM                    	491	7
4190	Varela, Maximiliano                	Jorge Newbery TDM             	491	7
4191	Wibrat, Ezequiel                   	Jorge Newbery TDM             	491	7
4192	Bach Laguzzi, Ester Rosa           	Bar Ping Pong NTE             	491	7
4193	Garbini Camiña, Franco             	Libertad                      	491	7
4194	Cabrera, Armando E.                	La Legión TDM                 	491	7
4195	Villarruel, Santiago               	Alvear Club                   	490	7
4196	Castiglioni, Tomas                 	Ateneo de Versailles          	490	7
4197	Neman, Veronica                    	Asoc. Yabrudense              	490	7
4198	Morales, Ricardo                   	Libre                         	490	7
4199	Romio, Gustavo                     	Arg Takkyu                    	490	7
4200	Rojo, Diego G                      	Padilla                       	489	7
4201	Tavil, Cecilia                     	Banco Nacion                  	489	7
4202	Molina, Tomas                      	Bar Ping Pong NTE             	489	7
4203	Costanzo, Martin N.                	Circulo Campano               	489	7
4204	Garcia Agüero, Rodrigo             	Fenix                         	489	7
4205	Cisterna, Pedro                    	Libre                         	488	7
4206	Parodi, Cynthia                    	La Huella                     	488	7
4207	Lerer, Mariano                     	Fenix                         	488	7
4208	Traverso, Adrian                   	CASA de Padua                 	488	7
4209	Israelit, Manuel                   	Sociedad Hebraica             	488	7
4210	Marquis, Julian                    	Libre                         	487	7
4211	Castillo, Sebastian                	Tigre TDM                     	487	7
4212	Alvarez, Javier                    	La Legión TDM                 	487	7
4213	Fraga Irureta, Alejandro           	U.V.V.A.                      	487	7
4214	Nizetich Tripodi, Gael             	CTDM Nizetich                 	487	7
4215	Cazal Rivera, Victor               	CASA de Padua                 	487	7
4216	Lopez Castaño, Joaquin             	Top Minc                      	486	7
4217	Gallardo, Elias                    	Libre                         	486	7
4218	Montenegro, Elian                  	TMR                           	486	7
4219	Cuenca, Roy                        	Arg Takkyu                    	486	7
4220	Lopez, Elian                       	CASA de Padua                 	486	7
4221	Maio Albino, Carlos                	Jorge Newbery TDM             	486	7
4222	Miño, Arami                        	Tigre TDM                     	486	7
4223	Rodriguez, Ivan                    	La Legión TDM                 	486	7
4224	Caprio, Bruno                      	U.V.V.A.                      	485	7
4225	Modrow, Gian Luka                  	Nichia Gakuin                 	485	7
4226	Gregoriadis, Nicolas               	Banco Nacion                  	485	7
4227	Gonzalez, Gustavo A.               	Club Urquiza                  	484	7
4228	Husson, Sofia                      	CEDIMA                        	483	7
4229	Restivo, Mariano                   	La Legión TDM                 	483	7
4230	Carapella, Lucas                   	Studio Ping Pong              	483	7
4231	Vargas, Joel                       	Libre                         	482	7
4232	Veliz, Jeremias N.                 	Atlanta                       	482	7
4233	Zugman, Nicolas                    	Sociedad Hebraica             	482	7
4234	Montes Mazza, Lucas                	Nichia Gakuin                 	481	7
4235	Piedra, Matias                     	Libre                         	481	7
4236	Skubaletzky, Lautaro               	Spin TDM                      	481	7
4237	Juarez, Maximiliano                	Nichia Gakuin                 	481	7
4238	Weber, Evelina                     	Ferrocarril Oeste             	480	7
4239	Deibe Medina, Sheila               	CEDIMA                        	480	7
4240	Aguilera, Dario Vicente            	Padilla                       	480	7
4241	Majul, Fabio D.                    	Jorge Newbery TDM             	480	7
4242	Mayorine, Kiara                    	La Huella                     	480	7
4243	Parodi, Nicole                     	La Huella                     	479	7
4244	Silva, Morena                      	Libre                         	479	7
4245	Zak, Federico                      	Atlanta                       	479	7
4246	Duren, Tobias                      	Banco Nacion                  	479	7
4247	Mora, Martin E.                    	Lourdes                       	479	7
4248	Gonzalez, Mariano                  	Circulo Campano               	479	7
4249	Moraga Ortega, Cecilia             	Club Italiano JCPaz           	479	7
4250	Tsai, Chi Sheng                    	Comunidad China TdM           	479	7
4251	Malondra, Pablo                    	Libertad                      	478	7
4252	Segura, Lucas                      	Libre                         	478	7
4253	Jimenez, Nicolas M.                	Jorge Newbery TDM             	478	7
4254	Montero Ochoa, Maria Fernanda      	Atlanta                       	478	7
4255	Cortez, Facundo                    	CASA de Padua                 	477	7
4256	Luqui, Jorge L                     	Libre                         	477	7
4257	Bau, Franco Nahuel                 	Spin TDM                      	477	7
4258	Grande, Alejandro G                	Ateneo de Versailles          	477	7
4259	Cano, Jorge                        	Astros Tenis de Mesa          	477	7
4260	Moscatelli, Juan                   	Nikkei TDM                    	477	7
4261	Vinueza Lozada, Juan Jose          	Atlanta                       	477	7
4262	Lopez, Juan Manuel (f)             	Libre                         	476	7
4263	Centurion, Hugo Oscar              	Libre                         	476	7
4264	Cobe, Nuri                         	Def. Santos Lugares           	476	7
4265	Asimacopulo, Matias                	Libre                         	476	7
4266	Mendez, Juan Manuel                	Def. Santos Lugares           	476	7
4267	Alderete, Lautaro                  	Libre                         	476	7
4268	Aguilar, Angel F                   	Libre                         	476	7
4269	Aguilar Rodriguez, Santiago        	Libre                         	476	7
4270	Lopez, Horacio                     	Libre                         	476	7
4271	Recalde, Maria Fernanda            	Libre                         	476	7
4272	Rosa, Julian                       	Libre                         	476	7
4273	Ruzzo, Nahuel                      	Tigre TDM                     	476	7
4274	Esses, Iara                        	Macabi                        	476	7
4275	Mayoral, Juan Manuel               	Adrogue Sith Spin             	476	7
4276	Gonzalez, German A.                	Def. Santos Lugares           	476	7
4277	Guagliardi, Joel                   	Libre                         	476	7
4278	Ferrin, Diego J.                   	Circulo Campano               	476	7
4279	Bueno, Sergio D.                   	Circulo Campano               	476	7
4280	Molina, Miguel Angel               	Libre                         	476	7
4281	Gonzalez, Juan Carlos              	Def. Santos Lugares           	476	7
4282	Esquite Puqui, Efrain J.           	TMR                           	476	7
4283	Alfonso, Angel                     	TMR                           	476	7
4284	Tursi, Jose Luis                   	Atlanta                       	476	7
4285	Klas, Claudio                      	Sociedad Hebraica             	476	7
4286	Garaventa, Lautaro                 	La Huella                     	476	7
4287	Hsieh, Pablo                       	Comunidad China TdM           	476	7
4288	Arepoco Accostupa, Thiago          	La Legión TDM                 	476	7
4289	Rios, Nahuel T.                    	Torre Tanque TDM              	476	7
4290	Vega, Horacio                      	CEDIMA                        	476	7
4291	Ponce De Leon, Fernando            	Nikkei TDM                    	475	7
4292	Nelson, Marcos D.                  	TMR                           	475	7
4293	Guerra, Claudio G.                 	San Lorenzo                   	475	7
4294	Cerbino, Ignacio                   	La Legión TDM                 	475	7
4295	Ojeda, Martin Ariel                	El Galpong                    	475	7
4296	De Grandi, Agustin                 	Asoc. Jap. Burzaco            	475	7
4297	Musacchio, Pedro                   	Tigre TDM                     	475	7
4298	Lopez, Federico A.                 	U.V.V.A.                      	475	7
4299	Suzuki Son, Hernan                 	Atlanta                       	475	7
4300	Barufaldi, Tomas G.                	Rioja                         	474	7
4301	Fresenga, Enzo Nicolas             	Estacion Ping Pong            	474	7
4302	Fierro, Jeremias                   	Adrogue Sith Spin             	474	7
4303	Biasioli, Gabriel                  	San Lorenzo                   	473	7
4304	Santillan, Elbio                   	Ferrocarril Oeste             	473	7
4305	Rodriguez Leisz, Alejandro         	TMR                           	473	7
4306	Grimaldi, Alejandra                	Arg Takkyu                    	472	7
4307	Imamura, Miguel M.                 	Nikkei TDM                    	472	7
4308	Campos, Tiziana C.                 	Fenix                         	472	7
4309	Muzzupappa, Sergio                 	Spin TDM                      	472	7
4310	Novales, Ivan                      	Tigre TDM                     	471	7
4311	Ini, Maximiliano                   	Banco Nacion                  	471	7
4312	Venditto, Ignacio                  	Club Italiano JCPaz           	471	7
4313	Rey, Nicolas F.                    	Padilla                       	471	7
4314	Niebuhr, Emiliano                  	CTDM Nizetich                 	471	7
4315	Luzzi, Lautaro                     	TMR                           	471	7
4316	Violante Gimenez, Catalina         	Ferrocarril Oeste             	470	7
4317	Hsueh, Benito Yuchi                	Comunidad China TdM           	470	7
4318	Moro Saidon, Gonzalo               	Nikkei TDM                    	470	7
4319	Galarza, Ayelen B.                 	ONG Volver a Jugar            	469	7
4320	Barboza, Juan Manuel               	Libre                         	468	7
4321	Italiano, Franco                   	CAVA                          	468	7
4322	Carrillo, Gerardo                  	U.V.V.A.                      	468	7
4323	Gualtieri, Julian                  	Lourdes                       	468	7
4324	Coronel, Tiara D.                  	Lourdes                       	468	7
4325	Fassini, Ignacio                   	Asoc. Yabrudense              	468	7
4326	Benech Arnold, Lautaro             	Fenix                         	467	7
4327	Carrizo, Rafael J.                 	Circulo Campano               	467	7
4328	Esquivel Rmaied, Juan M.           	Tigre TDM                     	467	7
4329	Ibarra, Tobias                     	Libre                         	466	7
4330	Rouge, Gustavo                     	Libre                         	466	7
4331	Carmona, Mariana                   	Def. Santos Lugares           	466	7
4332	Caporaso, Mariano                  	Social Club TDM               	466	7
4333	Arpon, Martin                      	Bar Ping Pong NTE             	466	7
4334	Chen, Martin                       	Comunidad China TdM           	466	7
4335	Coronato, Lucio                    	Fulgor Villa Crespo           	466	7
4336	Di Filippo, Gustavo W.             	Club 4F                       	466	7
4337	Rivas, Joaquin                     	Adrogue Sith Spin             	466	7
4338	Ercolano, Santiago                 	Peñarol                       	466	7
4339	Casamento, Norberto                	Club Italiano JCPaz           	466	7
4340	Kurchan, Rodolfo                   	Nichia Gakuin                 	465	7
4341	Gordillo, Marcos J.                	Club Italiano JCPaz           	465	7
4342	Rossi, Gaston                      	Bar Ping Pong NTE             	465	7
4343	Arepoco Accostupa, Alexis          	La Legión TDM                 	465	7
4344	Basile Bouzas, Juan Manuel         	Atlanta                       	465	7
4345	Leiva, Facundo                     	Intendente Agüero             	464	7
4346	Garcia, Gonzalo                    	CTDM Nizetich                 	464	7
4347	Pascieli, Juan                     	Libre                         	463	7
4348	Prosperi, Tobias                   	Gimnasty                      	463	7
4349	Baudino, Macarena                  	Ferrocarril Oeste             	463	7
4350	Wang, Lucia                        	Sociedad Hebraica             	463	7
4351	Montedoro, Emiliano                	Def. Santos Lugares           	462	7
4352	Bobeda, Mateo                      	La Legión TDM                 	462	7
4353	Alvez, Ricardo                     	La Legión TDM                 	462	7
4354	Heredia, Marcos                    	Tigre TDM                     	462	7
4355	De Vinzenzi, Leandro L             	Libre                         	461	7
4356	Brondolo, Pablo                    	San Lorenzo                   	461	7
4357	Bolis Wilson, Martin               	Top Minc                      	461	7
4358	Fernandez, Rodrigo                 	Ateneo de Versailles          	461	7
4359	Garcia Fronti, Matias              	La Legión TDM                 	461	7
4360	Aldecader, Pablo                   	U.V.V.A.                      	460	7
4361	Masignani, Javier                  	Bersie TDM                    	460	7
4362	Kibisz, Pablo                      	Peretz                        	459	7
4363	Kaladjian, Constantino             	Alvear Club                   	459	7
4364	Sirczuk, Ivan                      	Bersie TDM                    	459	7
4365	Rollandi, Gustavo                  	Club Urquiza                  	458	7
4366	Basini, Dante                      	Atlanta                       	458	7
4367	Drago, Enzo                        	CEDIMA                        	458	7
4368	Balanzat, Santiago                 	Nikkei TDM                    	458	7
4369	Quiroga, Julian                    	TMR                           	457	7
4370	Camacho, Martin G.                 	Banco Nacion                  	457	7
4371	Ortega, Ignacio Luis               	River Plate                   	456	7
4372	Squillari, Matias                  	Ferrocarril Oeste             	456	7
4373	Kunik, Emil V.                     	Club La Quinta                	456	7
4374	Gallo, Pablo                       	Studio Ping Pong              	456	7
4375	Cipollone, Juan Manuel             	Circulo Campano               	455	7
4376	Blasco, Santino                    	Top Minc                      	454	7
4377	Regazzoni, Agustin                 	Spin TDM                      	454	7
4378	Bauchwitz, Juan Jose               	Club Urquiza                  	454	7
4379	Ortiz, Federico J.                 	Circulo Campano               	454	7
4380	Lizarraga, Dario                   	Inst.Atlet. Cultural          	453	7
4381	Fernandez, Walter A.               	Estacion Ping Pong            	453	7
4382	Tracchia, Hernan                   	Bar Ping Pong NTE             	453	7
4383	Siepiela, Gabriel A.               	Torre Tanque TDM              	453	7
4384	Navarrete, Joaquin                 	Club Italiano JCPaz           	452	7
4385	Rodriguez, Facundo                 	Bar Ping Pong NTE             	452	7
4386	Mendez Bernardo, Vanessa           	La Legión TDM                 	451	7
4387	Lopez, Sergio                      	Zenit                         	451	7
4388	Otondo, Juan Ariel                 	TMR                           	451	7
4389	Birenboim, Lautaro                 	Social Club TDM               	450	7
4390	Melendez, Palermo                  	Social Club TDM               	450	7
4391	Leyria, Tomas                      	Social Club TDM               	450	7
4392	Cucut, Liliana A.                  	Estacion Ping Pong            	450	7
4393	Di Giorgio, Natalio E.             	Estacion Ping Pong            	450	7
4394	Brailovsky, Andrea C.              	Def. Santos Lugares           	450	7
4395	Ghidella, Luciano                  	Social Club TDM               	450	7
4396	Fernand, Kenny                     	Club Urquiza                  	450	7
4397	Carattoli, Diego                   	Ateneo de Versailles          	450	7
4398	Echodas, Gregorio                  	Ateneo de Versailles          	450	7
4399	Somoza, Nahuel                     	Ateneo de Versailles          	450	7
4400	Mentasti, Bruno                    	Ateneo de Versailles          	450	7
4401	Mentasti, Norberto                 	Ateneo de Versailles          	450	7
4402	Benavides, Fernando                	Ateneo de Versailles          	450	7
4403	Malvassi, Fabian Jorge             	Atlanta                       	450	7
4404	Letterio, José Gabriel             	Atlanta                       	450	7
4405	Grasso, Joaquin                    	Atlanta                       	450	7
4406	Chiyik, Pedro                      	Atlanta                       	450	7
4407	Minces, Martin                     	Atlanta                       	450	7
4408	Belloni, Carlos Enrique            	Atlanta                       	450	7
4409	Sung, Agustin Kevin                	Atlanta                       	450	7
4410	Cohen, Benjamin                    	Atlanta                       	450	7
4411	Pastor, Martín                     	Fenix                         	450	7
4412	Perez, Lautaro                     	Fenix                         	450	7
4413	Perez, Francisco                   	Fenix                         	450	7
4414	Vera, Mario Luis                   	Gimnasty                      	450	7
4415	Arnez Ortuzte, Fernando            	La Legión TDM                 	450	7
4416	Corengia, Santino                  	La Legión TDM                 	450	7
4417	Miño, Federico                     	La Legión TDM                 	450	7
4418	Montiliengo, Ignacio               	La Legión TDM                 	450	7
4419	Opromolla, Janet                   	La Legión TDM                 	450	7
4420	Pereira Ruiz, Javier               	La Legión TDM                 	450	7
4421	Rodrigues Coura, Rodrigo           	La Legión TDM                 	450	7
4422	Saravia, Leonardo                  	La Legión TDM                 	450	7
4423	Varela, Martín                     	La Legión TDM                 	450	7
4424	Gonzalez Acuña,Lucas               	La Legión TDM                 	450	7
4425	Asmu, Yamil Raúl                   	Libertad                      	450	7
4426	Duarte, Agustin                    	Lourdes                       	450	7
4427	Lamarina, Juan                     	Peñarol                       	450	7
