pos	jugador	club 	puntos	categoria
342	Berrojalbiz, Rodrigo	Libertad	582	7
343	Bernasconi, Tomas	CTDM Nizetich	578	7
344	Austi, Sebastián	Bar Ping Pong NTE	574	7
345	Gitelman, Lorena	Sociedad Hebraica	561	7
346	Nemeth, Jozsef	CTDM Nizetich	560	7
347	Villegas, Carlos	Jorge Newbery TDM	558	7
348	Burgos, Nicolas	Fulgor Villa Crespo	556	7
349	Castañeda Jr., Hugo	Torre Tanque TDM	556	7
350	Andrade, Facundo	Alvear Club	554	7
351	Zaniratto, Javier D.	Asoc. Jap. Burzaco	552	7
352	Miño, Alan J.	Jorge Newbery TDM	550	7
353	Galardi, Daniel	Torre Tanque TDM	548	7
354	Gualtieri, Hector Julian	El Galpong	547	7
355	Kuell, Nayla	CEDIMA	543	7
356	Bagnato, Alejandro	Instituto Cia. Maria	538	7
357	Roverano, Manuel	La Legión TDM	536	7
358	Ortega, Matias	CEDIMA	534	7
359	Castells, Fernando	Spin TDM	529	7
360	Sassoon, Maximiliano	River Plate	526	7
361	Falcon, Francisco	Tigre TDM	525	7
362	Cardoso, Jose	Atlanta	524	7
363	Fernandez, Daniel E.	San Lorenzo	521	7
364	Luna, Leonardo	CEDIMA	521	7
365	Kaladjian, Leonardo	Alvear Club	515	7
366	Huertas Bustos, Lucia	AsociacionYabrudense	514	7
367	De la Mota, Leandro	Ferrocarril Oeste	509	7
368	Palermo, Nicolas	Instituto Cia. Maria	509	7
369	Santucho, Alexis	Club Italiano JCPaz	492	7
370	Cabrera, Armando E.	La Legión TDM	491	7
371	Soto, Martina	Gimnasty	488	7
372	Kina, Hernan	Bar Ping Pong NTE	488	7
373	Mera, Augusto	Fenix	487	7
374	Rubin Minetti, Dante	Ateneo de Versailles	480	7
375	Zak, Federico	Atlanta	479	7
376	Perez Mazzarello, Malena	Nichia Gakuin	477	7
377	Sosa, Federico	La Legión TDM	471	7
378	Venditto, Ignacio	Club Italiano JCPaz	465	7
379	Moraga Ortega, Cecilia	Club Italiano JCPaz	464	7
380	Perez Mazzarello, Julia	Nichia Gakuin	461	7
