pos	id	jugador	club 	puntos	categoria
290	3217	Florio, Dario Anibal               	Banco Nacion                  	709	6
291	2635	Andrade, Facundo                   	Alvear Club                   	705	6
292	2068	Rojas, Mauricio                    	Banco Nacion                  	704	6
293	3724	Burstein, Tomas                    	Macabi                        	700	6
294	4321	Zualet, Jorge A.                   	Boca Juniors                  	700	6
295	4612	Martinez, Saul R.                  	Club Italiano JCPaz           	699	6
296	4146	Urfeig, Francisco                  	Atlanta                       	697	6
297	4094	Dyjament, Tadeo                    	Macabi                        	695	6
298	4547	Buk, Manuel                        	Bar Ping Pong NTE             	693	6
299	2888	Lima, Martin                       	Zenit                         	692	6
300	3648	Lacuadra, Sebastian H.             	Club Italiano JCPaz           	689	6
301	1174	Martinez, Alan                     	Lourdes                       	688	6
302	4331	Di Cocco, Dario                    	Peretz                        	684	6
303	3573	Depirro, Nahuel                    	Jorge Newbery TDM             	683	6
304	4183	Arias Gonzalez, Demian             	Banco Nacion                  	682	6
305	2536	Arakaki, Ezequiel                  	Asoc. Jap. Burzaco            	681	6
306	4168	Costa, Guillermo                   	Top Minc                      	681	6
307	1876	Balcaza, Néstor                    	Spin TDM                      	674	6
308	3539	Gonzalez, Gustavo Martin           	San Lorenzo                   	674	6
309	2002	Puntel, Diego Hernán               	Alvear Club                   	672	6
310	4619	Dykstein, Ariel A.                 	Macabi                        	672	6
311	3815	Salvador, Cristian                 	Spin TDM                      	669	7
312	3933	Villegas, Lautaro                  	Tigre TDM                     	669	7
313	4409	Rosciano, Raul                     	Peretz                        	669	7
314	3877	Fantino, Juan Pablo                	San Lorenzo                   	668	7
315	3136	Luna, Leonardo                     	CEDIMA                        	667	7
316	3901	Cardoso, Jose                      	La Legión TDM                 	661	7
317	2918	Bagnato, Alejandro                 	Fenix                         	658	7
318	3900	Palermo, Nicolas                   	Arg Takkyu                    	657	7
319	2904	Famiglietti, Franco A              	Rioja                         	655	7
320	4138	Gomez, Tomas J.                    	Ferrocarril Oeste             	655	7
321	1768	De la Mota, Leandro                	Spin TDM                      	653	7
322	4423	Joniak, Diego A.                   	Club 4F                       	653	7
323	3818	Boron, Andres                      	Spin TDM                      	651	7
324	4078	Makaganow Lopez, Anatoly           	UCA Marash Argentina          	650	7
325	1900	Hernandez, Carlos Alfredo          	La Legión TDM                 	649	7
326	4105	Marenzi, Diego                     	CASA de Padua                 	649	7
327	4393	Garcia, Andres                     	Fulgor Villa Crespo           	649	7
328	2136	Onofri, Gustavo A                  	CAVA                          	647	7
329	4468	Comoli, Pablo O.                   	Rioja                         	638	7
330	2670	Di Corrado, Gustavo                	River Plate                   	633	7
331	3570	Villegas, Carlos                   	Jorge Newbery TDM             	631	7
332	2798	Dominguez, Luis A.                 	Inst.Atlet. Cultural          	620	7
333	4443	Fondevila Revelli, Antonio         	La Legión TDM                 	616	7
334	4405	Zaina, Alejandro                   	Asoc. Yabrudense              	614	7
335	4162	Bulacio, Juan Alberto              	GTM                           	612	7
336	4756	Contreras, Jean                    	Social Club TDM               	611	7
337	3152	Dominguez, Elias                   	GTM                           	610	7
338	3407	Corral, Ignacio S.                 	Circulo Campano               	609	7
339	3922	Zaniratto, Javier D.               	Asoc. Jap. Burzaco            	608	7
340	3589	Nemeth, Jozsef                     	CTDM Nizetich                 	607	7
341	3994	Loaiza, Nicolas                    	CASA de Padua                 	607	7
342	3691	Soto, Martina                      	Gimnasty                      	604	7
343	2306	Zolezzi, Aldo F                    	CAVA                          	603	7
344	4528	Basile, Adrian                     	Spin TDM                      	600	7
345	4590	Hernandez, Matias N.               	Ateneo de Versailles          	599	7
346	4265	Potenza, Nahuel                    	Alvear Club                   	595	7
347	4226	Misle Belisario, Alfredo           	La Legión TDM                 	593	7
348	3364	Sosa, Ivan Marcelo                 	Tigre TDM                     	589	7
349	4552	Miranda, Santiago                  	Tigre TDM                     	587	7
350	3612	Iseruk, Nicolas U.                 	Sociedad Hebraica             	580	7
351	4373	Diaz Da Costa, Milton              	Banco Nacion                  	576	7
352	4419	Diaz, Daniel O.                    	Club 4F                       	576	7
353	4576	Greco Barragan, Federico           	Nichia Gakuin                 	558	7
354	2203	Varona Sosa, Nicolas               	La Legión TDM                 	551	7
355	1782	Cruz Muñoz, Martina                	Spin TDM                      	550	7
356	4246	Juri, Edgardo                      	El Galpong                    	548	7
357	4650	Babilani, Diego                    	Atlanta                       	546	7
358	4529	Ernst, Erik                        	Spin TDM                      	534	7
359	4748	Ercolano, Rodrigo                  	Peñarol                       	530	7
360	3955	Vazon, Nahuel                      	River Plate                   	529	7
361	2946	Umana, Federico                    	Nichia Gakuin                 	517	7
362	4408	Torres, Lautaro                    	Peretz                        	516	7
363	4164	Boada Sosa, Marco A.               	GTM                           	514	7
364	4646	Ubilla, Gabriel A.                 	Club Italiano JCPaz           	510	7
365	3821	Montaño, Carlos                    	Spin TDM                      	507	7
366	3540	Huertas Bustos, Lucia              	Asoc. Yabrudense              	502	7
367	3960	Casamento, Norberto                	Club Italiano JCPaz           	502	7
368	4233	Lamas, Mariano D.                  	San Lorenzo                   	501	7
369	4760	Soplan, Pablo                      	Boca Juniors                  	499	7
370	2192	Avila, Maria Luz                   	Zenit                         	497	7
371	2664	Lacoa, Esteban                     	Zenit                         	495	7
372	3546	Vinueza Lozada, Juan Jose          	Atlanta                       	494	7
373	4714	Sanchez Alberti, Andres            	TMR                           	487	7
374	3048	Garcia Agüero, Rodrigo             	Fenix                         	482	7
375	4364	Castro, Gonzalo                    	La Legión TDM                 	475	7
376	4540	Suzuki Son, Hernan                 	Atlanta                       	472	7
377	4591	Thiessen, Joaquin                  	Ateneo de Versailles          	448	7
378	4762	Salvado, Gabriel                   	Boca Juniors                  	443	7
379	4017	Baranchuk, Martin                  	Sociedad Hebraica             	438	7
380	4683	Defazio, Adrian                    	CTDM Nizetich                 	429	7
381	4814	Montaño Lorefice, Pablo            	Spin TDM                      	429	7
382	4154	Lock, Liliana J.                   	Padilla                       	416	7
383	4486	Schreiber, Alan                    	Macabi                        	404	7
384	4235	Guia, Walter                       	San Lorenzo                   	392	7
385	2826	Mandel, Mario                      	Top Minc                      	389	7
386	4307	Sato, Mia Hirommi                  	Gimnasty                      	369	7
387	4445	Lori, Hanae                        	GTM                           	351	7
388	4016	Lifschitz, Yael                    	Sociedad Hebraica             	318	7
